variant,scenario,algorithm,distance_km,wait_min,probability_of_delay,reserved_parallel,reservation_starts,price_pence_per_kwh,runtime_ms,reservation_accepted,load_multiplier,lambda_multiplier,top_k_sampled,weights_distance,weights_wait,weights_cost,battery_level_percent,battery_capacity_kwh
baseline_equal,urban,static_queue,0.597,0.24242424242424243,0.015151515151515152,0,0,55.0,1.390593002724927,1,1.0,1.0,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,10.34103810154951,40.0
baseline_equal,urban,dijkstra,1.1793,40.0,0.5,0,0,55.0,44.77988999860827,1,1.0,1.0,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,10.34103810154951,40.0
baseline_equal,urban,range_aware,2.026,5.002061109666476e-25,2.438504790962407e-25,0,0,55.0,1.6533110028831288,1,1.0,1.0,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,10.34103810154951,40.0
baseline_equal,urban,nearest,0.284,2.6666666666666665,0.09999999999999999,0,0,55.0,0.7283489976543933,1,1.0,1.0,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,22.514518100442082,40.0
baseline_equal,urban,cost_optimized,0.284,2.6666666666666665,0.09999999999999999,0,0,55.0,1.5885059983702376,0,1.0,1.0,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,22.514518100442082,40.0
baseline_equal,urban,queue_aware,0.8961,0.24242424242424243,0.015151515151515152,0,0,55.0,1.9141279990435578,1,1.0,1.0,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,22.514518100442082,40.0
baseline_equal,urban,static_queue,0.8704,0.24242424242424243,0.015151515151515152,0,0,55.0,1.434096004231833,1,1.0,1.0,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,22.514518100442082,40.0
baseline_equal,urban,dijkstra,0.8961,0.24242424242424243,0.015151515151515152,0,0,55.0,50.82679400220513,1,1.0,1.0,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,22.514518100442082,40.0
baseline_equal,urban,range_aware,1.7818,5.002061109666476e-25,2.438504790962407e-25,0,0,55.0,1.5406029997393489,1,1.0,1.0,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,22.514518100442082,40.0
baseline_equal,urban,nearest,0.9753,0.020629190304280558,0.0018050541516245488,0,0,55.0,0.7068470004014671,1,1.0,1.0,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,9.561847892198715,40.0
baseline_equal,urban,cost_optimized,0.9753,0.020629190304280558,0.0018050541516245488,0,0,55.0,1.6297089969157241,1,1.0,1.0,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,9.561847892198715,40.0
baseline_equal,urban,queue_aware,0.9753,0.020629190304280558,0.0018050541516245488,0,0,55.0,1.8115210041287355,1,1.0,1.0,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,9.561847892198715,40.0
baseline_equal,urban,static_queue,0.9753,0.020629190304280558,0.0018050541516245488,0,0,55.0,1.4357960026245564,1,1.0,1.0,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,9.561847892198715,40.0
baseline_equal,urban,dijkstra,1.439,2.6666666666666665,0.09999999999999999,0,0,55.0,46.413399002631195,1,1.0,1.0,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,9.561847892198715,40.0
baseline_equal,urban,range_aware,3.3171,5.002061109666476e-25,2.438504790962407e-25,0,0,55.0,1.5804050053702667,1,1.0,1.0,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,9.561847892198715,40.0
baseline_equal,urban,nearest,0.3935,2.6666666666666665,0.09999999999999999,0,0,55.0,0.8042530025704764,1,1.0,1.0,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,9.19176611910775,40.0
baseline_equal,urban,cost_optimized,0.3935,2.6666666666666665,0.09999999999999999,0,0,55.0,1.584906000061892,1,1.0,1.0,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,9.19176611910775,40.0
baseline_equal,urban,queue_aware,2.0031,0.00156000156000156,0.0001755001755001755,0,0,55.0,2.20924799941713,1,1.0,1.0,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,9.19176611910775,40.0
baseline_equal,urban,static_queue,1.0206,0.020629190304280558,0.0018050541516245488,0,0,55.0,1.4537969982484356,1,1.0,1.0,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,9.19176611910775,40.0
baseline_equal,urban,dijkstra,0.3935,2.6666666666666665,0.09999999999999999,0,0,55.0,53.67818399827229,1,1.0,1.0,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,9.19176611910775,40.0
baseline_equal,urban,range_aware,4.307,5.002061109666476e-25,2.438504790962407e-25,0,0,55.0,1.545402999909129,1,1.0,1.0,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,9.19176611910775,40.0
baseline_equal,urban,nearest,0.085,40.0,0.5,0,0,55.0,0.7391500039375387,1,1.0,1.0,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,29.317917660264527,40.0
baseline_equal,urban,cost_optimized,0.25980000000000003,0.24242424242424243,0.015151515151515152,0,0,55.0,1.5362029953394085,0,1.0,1.0,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,29.317917660264527,40.0
baseline_equal,urban,queue_aware,0.25980000000000003,0.24242424242424243,0.015151515151515152,0,0,55.0,1.8879259951063432,1,1.0,1.0,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,29.317917660264527,40.0
baseline_equal,urban,static_queue,0.25980000000000003,0.24242424242424243,0.015151515151515152,0,0,55.0,1.428994997695554,1,1.0,1.0,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,29.317917660264527,40.0
baseline_equal,urban,dijkstra,0.085,40.0,0.5,0,0,55.0,51.558041996031534,1,1.0,1.0,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,29.317917660264527,40.0
baseline_equal,urban,range_aware,4.0807,5.002061109666476e-25,2.438504790962407e-25,0,0,55.0,2.1738450013799593,1,1.0,1.0,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,29.317917660264527,40.0
baseline_equal,urban,nearest,1.4072,2.6666666666666665,0.09999999999999999,0,0,55.0,0.7052470027701929,1,1.0,1.0,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,20.741966397957636,40.0
baseline_equal,urban,cost_optimized,1.4502000000000002,0.020629190304280558,0.0018050541516245488,0,0,55.0,1.5092009998625144,1,1.0,1.0,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,20.741966397957636,40.0
baseline_equal,urban,queue_aware,2.5008000000000004,0.020629190304280558,0.0018050541516245488,1,0,55.0,1.8046210025204346,1,1.0,1.0,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,20.741966397957636,40.0
baseline_equal,urban,static_queue,1.4502000000000002,0.020629190304280558,0.0018050541516245488,0,0,55.0,1.6397090003010817,1,1.0,1.0,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,20.741966397957636,40.0
baseline_equal,urban,dijkstra,1.4072,2.6666666666666665,0.09999999999999999,0,0,55.0,45.33812799490988,0,1.0,1.0,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,20.741966397957636,40.0
baseline_equal,urban,range_aware,5.0348999999999995,5.002061109666476e-25,2.438504790962407e-25,0,0,55.0,1.6190080059459433,1,1.0,1.0,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,20.741966397957636,40.0
