variant,scenario,algorithm,fairness_jain,reservation_rejection_rate,load_multiplier,top_k_sampled,weights_distance,weights_wait,weights_cost
topk_robustness,urban,queue_aware,0.05323566363578288,0.0,1.0,3,0.3333333333333333,0.3333333333333333,0.3333333333333333
topk_robustness,urban,static_queue,0.04676918471957197,0.0,1.0,3,0.3333333333333333,0.3333333333333333,0.3333333333333333
topk_robustness,urban,dijkstra,0.09096863401499163,0.41,1.0,3,0.3333333333333333,0.3333333333333333,0.3333333333333333
topk_robustness,urban,range_aware,0.009359124584922825,0.0,1.0,3,0.3333333333333333,0.3333333333333333,0.3333333333333333
topk_robustness,mixed,nearest,0.09353836943914394,0.41,1.0,3,0.3333333333333333,0.3333333333333333,0.3333333333333333
topk_robustness,mixed,cost_optimized,0.06392390498350763,0.09,1.0,3,0.3333333333333333,0.3333333333333333,0.3333333333333333
topk_robustness,mixed,queue_aware,0.05650611396153064,0.0,1.0,3,0.3333333333333333,0.3333333333333333,0.3333333333333333
topk_robustness,mixed,static_queue,0.04826907110999556,0.02,1.0,3,0.3333333333333333,0.3333333333333333,0.3333333333333333
topk_robustness,mixed,dijkstra,0.09913946940555975,0.31,1.0,3,0.3333333333333333,0.3333333333333333,0.3333333333333333
topk_robustness,mixed,range_aware,0.0102199329572398,0.0,1.0,3,0.3333333333333333,0.3333333333333333,0.3333333333333333
topk_robustness,highway,nearest,0.041390728476821195,0.37,1.0,3,0.3333333333333333,0.3333333333333333,0.3333333333333333
topk_robustness,highway,cost_optimized,0.03868292381011326,0.11,1.0,3,0.3333333333333333,0.3333333333333333,0.3333333333333333
topk_robustness,highway,queue_aware,0.028894051292719856,0.0,1.0,3,0.3333333333333333,0.3333333333333333,0.3333333333333333
topk_robustness,highway,static_queue,0.03630765655861508,0.0,1.0,3,0.3333333333333333,0.3333333333333333,0.3333333333333333
topk_robustness,highway,dijkstra,0.05206380940480653,0.45,1.0,3,0.3333333333333333,0.3333333333333333,0.3333333333333333
topk_robustness,highway,range_aware,0.01034121885741941,0.01,1.0,3,0.3333333333333333,0.3333333333333333,0.3333333333333333
erlang_sensitivity,urban,nearest,0.051099664786199005,0.45,0.5,1,0.3333333333333333,0.3333333333333333,0.3333333333333333
erlang_sensitivity,urban,cost_optimized,0.02402945049452609,0.02,0.5,1,0.3333333333333333,0.3333333333333333,0.3333333333333333
erlang_sensitivity,urban,queue_aware,0.04159872208725748,0.0,0.5,1,0.3333333333333333,0.3333333333333333,0.3333333333333333
erlang_sensitivity,urban,static_queue,0.02312331199822413,0.01,0.5,1,0.3333333333333333,0.3333333333333333,0.3333333333333333
erlang_sensitivity,urban,dijkstra,0.05788913073681286,0.37,0.5,1,0.3333333333333333,0.3333333333333333,0.3333333333333333
erlang_sensitivity,urban,range_aware,0.0033112582781456954,0.0,0.5,1,0.3333333333333333,0.3333333333333333,0.3333333333333333
erlang_sensitivity,mixed,nearest,0.04898311062345703,0.26,0.5,1,0.3333333333333333,0.3333333333333333,0.3333333333333333
erlang_sensitivity,mixed,cost_optimized,0.02562893404137535,0.07,0.5,1,0.3333333333333333,0.3333333333333333,0.3333333333333333
erlang_sensitivity,mixed,queue_aware,0.028793550244745177,0.0,0.5,1,0.3333333333333333,0.3333333333333333,0.3333333333333333
erlang_sensitivity,mixed,static_queue,0.026575106566177332,0.0,0.5,1,0.3333333333333333,0.3333333333333333,0.3333333333333333
erlang_sensitivity,mixed,dijkstra,0.04971859276495038,0.28,0.5,1,0.3333333333333333,0.3333333333333333,0.3333333333333333
erlang_sensitivity,mixed,range_aware,0.003378145560238416,0.0,0.5,1,0.3333333333333333,0.3333333333333333,0.3333333333333333
erlang_sensitivity,highway,nearest,0.018233801091110658,0.2,0.5,1,0.3333333333333333,0.3333333333333333,0.3333333333333333
erlang_sensitivity,highway,cost_optimized,0.012619124535616217,0.01,0.5,1,0.3333333333333333,0.3333333333333333,0.3333333333333333
erlang_sensitivity,highway,queue_aware,0.009614571074755213,0.0,0.5,1,0.3333333333333333,0.3333333333333333,0.3333333333333333
erlang_sensitivity,highway,static_queue,0.009814043503692043,0.0,0.5,1,0.3333333333333333,0.3333333333333333,0.3333333333333333
erlang_sensitivity,highway,dijkstra,0.023856327652346507,0.35,0.5,1,0.3333333333333333,0.3333333333333333,0.3333333333333333
erlang_sensitivity,highway,range_aware,0.004060900512810516,0.0,0.5,1,0.3333333333333333,0.3333333333333333,0.3333333333333333
erlang_sensitivity,urban,nearest,0.050630860522105435,0.35,1.0,1,0.3333333333333333,0.3333333333333333,0.3333333333333333
erlang_sensitivity,urban,cost_optimized,0.025315430261052718,0.09,1.0,1,0.3333333333333333,0.3333333333333333,0.3333333333333333
erlang_sensitivity,urban,queue_aware,0.03252709507019347,0.0,1.0,1,0.3333333333333333,0.3333333333333333,0.3333333333333333
erlang_sensitivity,urban,static_queue,0.021117718610623056,0.03,1.0,1,0.3333333333333333,0.3333333333333333,0.3333333333333333
erlang_sensitivity,urban,dijkstra,0.05829680067157914,0.36,1.0,1,0.3333333333333333,0.3333333333333333,0.3333333333333333
erlang_sensitivity,urban,range_aware,0.0033112582781456954,0.0,1.0,1,0.3333333333333333,0.3333333333333333,0.3333333333333333
erlang_sensitivity,mixed,nearest,0.04159872208725748,0.33,1.0,1,0.3333333333333333,0.3333333333333333,0.3333333333333333
erlang_sensitivity,mixed,cost_optimized,0.02661783181789144,0.08,1.0,1,0.3333333333333333,0.3333333333333333,0.3333333333333333
erlang_sensitivity,mixed,queue_aware,0.02406437702140767,0.0,1.0,1,0.3333333333333333,0.3333333333333333,0.3333333333333333
erlang_sensitivity,mixed,static_queue,0.023994625203954314,0.03,1.0,1,0.3333333333333333,0.3333333333333333,0.3333333333333333
erlang_sensitivity,mixed,dijkstra,0.05173841059602649,0.42,1.0,1,0.3333333333333333,0.3333333333333333,0.3333333333333333
