variant,scenario,algorithm,distance_mean,distance_ci_low,distance_ci_high,wait_mean,wait_ci_low,wait_ci_high,pdelay_mean,pdelay_ci_low,pdelay_ci_high,runtime_ms_mean,reservation_accept_rate,fairness_jain,reservation_rejection_rate,load_multiplier,top_k_sampled,weights_distance,weights_wait,weights_cost
distance_priority,urban,dijkstra,0.7883149999999999,0.6599027750000002,0.9224155500000001,26.538027837678687,22.908081955683876,30.02831706062471,0.3453502159532816,0.30342255512673094,0.38555992957167684,53.08674487067037,0.6,0.0973899493572263,0.4,1.0,1,0.7,0.2,0.1
distance_priority,urban,nearest,0.619806,0.5084093749999999,0.745271075,26.405374732472115,22.56355227895291,29.977836094803607,0.3404112433665511,0.296269222390273,0.3805393117951049,0.7887176399526652,0.56,0.0957011063047888,0.44,1.0,1,0.7,0.2,0.1
distance_priority,urban,queue_aware,1.1362679999999998,1.0145121750000001,1.2810997999999998,0.08527399574244762,0.06452973646089255,0.10845730299015133,0.005464584283767983,0.004095515701312218,0.0068682576608149115,2.0214833100908436,1.0,0.0395138219349128,0.0,1.0,1,0.7,0.2,0.1
distance_priority,urban,range_aware,2.9614550000000004,2.721945075,3.1679174,5.002061109666477e-25,5.002061109666477e-25,5.002061109666477e-25,2.4385047909624074e-25,2.4385047909624074e-25,2.4385047909624074e-25,1.7504324696346885,1.0,0.0033112582781456,0.0,1.0,1,0.7,0.2,0.1
distance_priority,urban,static_queue,1.087337,0.9649776,1.2206932750000004,0.04071060417627351,0.02640202878694515,0.056920871290809846,0.0027775000298429046,0.0018717382172384169,0.003746640952561132,1.62191206960415,1.0,0.0348553502962704,0.0,1.0,1,0.7,0.2,0.1
erlang_sensitivity,highway,cost_optimized,7.354978,6.96810043,7.773233449999998,54007.063762603924,36007.2971438583,76006.26434777686,0.17415481944763395,0.15008024068593645,0.19894046301095306,1.7797173920698697,0.866,0.0126191245356162,0.01,0.5,1,0.3333333333333333,0.3333333333333333,0.3333333333333333
erlang_sensitivity,highway,cost_optimized,7.354978,6.96810043,7.773233449999998,54007.063762603924,36007.2971438583,76006.26434777686,0.17415481944763395,0.15008024068593645,0.19894046301095306,1.7797173920698697,0.866,0.01390116825418,0.02,1.0,1,0.3333333333333333,0.3333333333333333,0.3333333333333333
erlang_sensitivity,highway,cost_optimized,7.354978,6.96810043,7.773233449999998,54007.063762603924,36007.2971438583,76006.26434777686,0.17415481944763395,0.15008024068593645,0.19894046301095306,1.7797173920698697,0.866,0.0158737213717435,0.14,1.5,1,0.3333333333333333,0.3333333333333333,0.3333333333333333
erlang_sensitivity,highway,cost_optimized,7.354978,6.96810043,7.773233449999998,54007.063762603924,36007.2971438583,76006.26434777686,0.17415481944763395,0.15008024068593645,0.19894046301095306,1.7797173920698697,0.866,0.0159809762458769,0.23,2.0,1,0.3333333333333333,0.3333333333333333,0.3333333333333333
erlang_sensitivity,highway,cost_optimized,7.354978,6.96810043,7.773233449999998,54007.063762603924,36007.2971438583,76006.26434777686,0.17415481944763395,0.15008024068593645,0.19894046301095306,1.7797173920698697,0.866,0.0192963769122709,0.27,3.0,1,0.3333333333333333,0.3333333333333333,0.3333333333333333
erlang_sensitivity,highway,dijkstra,7.4441228,7.051579605,7.82351104,212020.01355456392,178019.4633987217,248019.94833768095,0.40804736522744905,0.37434683750950165,0.4401613358770091,56.06390826810093,0.636,0.0238563276523465,0.35,0.5,1,0.3333333333333333,0.3333333333333333,0.3333333333333333
erlang_sensitivity,highway,dijkstra,7.4441228,7.051579605,7.82351104,212020.01355456392,178019.4633987217,248019.94833768095,0.40804736522744905,0.37434683750950165,0.4401613358770091,56.06390826810093,0.636,0.0262798276043309,0.44,1.0,1,0.3333333333333333,0.3333333333333333,0.3333333333333333
erlang_sensitivity,highway,dijkstra,7.4441228,7.051579605,7.82351104,212020.01355456392,178019.4633987217,248019.94833768095,0.40804736522744905,0.37434683750950165,0.4401613358770091,56.06390826810093,0.636,0.0249717818864682,0.39,1.5,1,0.3333333333333333,0.3333333333333333,0.3333333333333333
erlang_sensitivity,highway,dijkstra,7.4441228,7.051579605,7.82351104,212020.01355456392,178019.4633987217,248019.94833768095,0.40804736522744905,0.37434683750950165,0.4401613358770091,56.06390826810093,0.636,0.0246740557238874,0.27,2.0,1,0.3333333333333333,0.3333333333333333,0.3333333333333333
